6	Ecke	Eck	N	NN	_|Acc|_	4	pn	_	_
7	gebannt	bannen	V	VVPP	_	8	neb	_	_
8	hielt	halten	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
9	,	,	$	$,	_	0	root	_	_
10	wo	wo	P	PWAV	_	17	adv	_	_
11	er	er	P	PPER	3|Sg|Masc|Nom	18	subj	3	3
12	sich	sie	P	PRF	3|_|_	17	obja	_	_
13	nun	nun	A	ADV	_	17	adv	_	_
14	ungesehen	ungesehen	A	ADJD	Pos|	17	pred	_	_
15	und	und	K	KON	_	14	kon	_	_
16	unbeachtet	unbeachtet	A	ADJD	Pos|	15	cj	_	_
17	fühlen	fühlen	V	VVINF	_	18	aux	_	_
18	durfte	dürfen	V	VMFIN	3|Sg|Past|Ind	8	objc	_	_
19	-	-	$	$(	_	0	root	_	_
20	die	die	A	ART	Def|Fem|_|Sg	21	det	_	_
21	Scheu	Scheu	N	NN	Fem|_|Sg	0	root	_	_
22	vor	vor	P	APPR	Dat	21	pp	_	_
23	einem	eine	A	ART	Indef|Masc|Dat|Sg	28	det	_	_
24	ruhmlosen	ruhmlos	A	ADJA	Pos|Masc|Dat|Sg|Wk|	28	attr	_	_
25	und	und	K	KON	_	24	kon	_	_
26	etwas	etwas	A	ADV	_	27	adv	_	_
27	lächerlichen	lächerlich	A	ADJA	Pos|_|Dat|_|_|	25	cj	_	_
28	Rückzug	Rückzug	N	NN	Masc|Dat|Sg	22	pn	_	_
29	,	,	$	$,	_	0	root	_	_
30	das	die	A	ART	Def|Neut|_|Sg	34	det	_	_
31	ungestillte	ungestillt	A	ADJA	Pos|Neut|_|Sg|Wk|	34	attr	_	_
32	,	,	$	$,	_	0	root	_	_
33	quälende	quälend	A	ADJA	Pos|_|_|_|_|_	31	kon	_	_
34	Verlangen	Verlangen	N	NN	Neut|_|Sg	21	app	_	_
35	nach	nach	P	APPR	Dat	34	pp	_	_
36	dem	die	A	ART	Def|Masc|Dat|Sg	38	det	_	_
37	wundersamen	wundersam	A	ADJA	Pos|Masc|Dat|Sg|Wk|	38	attr	_	_
38	Frauenleib	Frauenleib	N	NN	Masc|Dat|Sg	35	pn	_	_
39	,	,	$	$,	_	0	root	_	_
40	dessen	die	A	PRELAT	Masc|Nom|Sg	41	det	419	419
41	Duft	Duft	N	NN	Masc|Nom|Sg	45	subj	419	419
42	noch	noch	A	ADV	_	45	adv	_	_
43	um	um	P	APPR	Acc	45	pp	_	_
44	ihn	er	P	PPER	3|Sg|Masc|Acc	43	pn	3	3
45	strich	streichen	V	VVFIN	3|Sg|Past|Ind	38	rel	_	_
46	;	;	$	$.	_	0	root	_	_
47	oder	oder	K	KON	_	0	root	_	_
48	die	die	A	ART	Def|Fem|_|Sg	49	det	494	494
49	Erwägung	Erwägung	N	NN	Fem|_|Sg	47	cj	494	494
