1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	76	76
2	Adjunkt	Adjunkt	N	NN	Masc|Nom|Sg	0	root	76	76
3	.	.	$	$.	_	0	root	_	_

1	Ob	ob	K	KOUS	_	5	konj	_	_
2	sie	sie	P	PPER	3|Sg|Fem|Nom	5	subj	651	651
3	das	die	P	PDS	Neut|_|Sg	4	obja	_	_
4	wünschen	wünschen	V	VVINF	_	5	aux	_	_
5	sollte	sollen	V	VMFIN	3|Sg|Past|_	0	root	_	_
6	.	.	$	$.	_	0	root	_	_

1	.	.	$	$.	_	0	root	_	_
2	?	?	$	$.	_	0	root	_	_

1	Sie	sie	P	PPER	3|_|_|_	0	root	651	651
2	sind	sein	V	VAFIN	3|Pl|Pres|Ind	0	root	_	_
3	beide	beide	P	PIS	_|Nom|Pl	2	subj	_	_
4	tiefer	tief	A	ADJD	Comp|	5	adv	_	_
5	in	in	P	APPR	Acc	8	objp	_	_
6	den	die	A	ART	Def|Masc|Acc|Sg	7	det	645	645
7	Garten	Garten	N	NN	Masc|Acc|Sg	5	pn	645	645
8	getreten	treten	V	VVPP	_	2	aux	_	_
9	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	103	103
2	Arzt	Arzt	N	NN	Masc|Nom|Sg	0	root	103	103
3	.	.	$	$.	_	0	root	_	_

1	Diese	diese	A	PDAT	Fem|Nom|Sg	2	det	_	_
2	Gegend	Gegend	N	NN	Fem|Nom|Sg	4	subj	_	_
3	hier	hier	A	ADV	_	2	adv	_	_
4	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
5	schön	schön	A	ADJD	Pos|	4	pred	_	_
6	.	.	$	$.	_	0	root	_	_

1	Welch	welch	A	PWAT	_	0	root	_	_
2	ein	eine	A	ART	Indef|Masc|Nom|Sg	3	det	_	_
3	Frieden	Frieda	N	NN	Masc|Nom|Sg	0	root	_	_
4	über	über	P	APPR	Dat	3	pp	_	_
