17	daß	daß	K	KOUS	_	24	konj	_	_
18	Floras	Floras	N	NE	_|Nom|Sg	24	subj	178	178
19	Seele	Seele	N	NN	Fem|_|Sg	24	obja	270	270
20	stets	stets	A	ADV	_	24	adv	_	_
21	in	in	P	APPR	Dat	24	objp	_	_
22	ihrem	ihre	A	PPOSAT	Masc|Dat|Sg	23	det	178	178
23	Kunstschlosser	Kunstschlosser	N	NN	Masc|Dat|Sg	21	pn	_	_
24	steckt	stecken	V	VVFIN	3|Sg|Pres|Ind	13	objc	_	_
25	.	.	$	$.	_	0	root	_	_
26			F	FM	_	0	root	_	_
27	«	«	F	FM	_	26	app	_	_

1	Danach	Danach	P	PROAV	_	2	pp	_	_
2	begab	begeben	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	man	man	P	PIS	_|Nom|Sg	2	subj	_	_
4	sich	sie	P	PRF	3|_|_	2	obja	_	_
5	zum	zu	P	APPRART	Dat	2	objp	_	_
6	Diner	Diner	N	NN	Neut|Dat|Sg	5	pn	271	271
7	,	,	$	$,	_	0	root	_	_
8	und	und	K	KON	_	2	kon	_	_
9	die	die	A	ART	Def|Fem|Nom|Pl	10	det	7	7
10	Damen	Dame	N	NN	Fem|Nom|Pl	11	subj	7	7
11	erklärten	erklären	V	VVFIN	3|Pl|Past|_	8	cj	_	_
12	dem	die	A	ART	Def|Masc|Dat|Sg	13	det	1	1
