22	Szene	Szene	N	NN	Fem|_|Sg	19	pn	_	_
23	so	so	A	ADV	_	24	adv	_	_
24	vielen	viele	A	PIDAT	Masc|_|Sg	25	det	_	_
25	Beifall	Beifall	N	NN	Masc|_|Sg	26	obja	_	_
26	erwartet	erwarten	V	VVPP	_	16	aux	_	_
27	.	.	$	$.	_	0	root	_	_

1	-Wenn	-Wenn	V	VAFIN	3|Sg|_|_	0	root	_	_
2	es	es	P	PPER	3|Sg|Neut|Nom	1	subj	_	_
3	nur	nur	A	ADV	_	1	adv	_	_
4	nicht	nicht	P	PTKNEG	_	1	adv	_	_
5	so	so	A	ADV	_	6	adv	_	_
6	weit	weit	A	ADJD	Pos|	7	adv	_	_
7	von	von	P	APPR	_	1	pp	_	_
8	hier	hier	A	ADV	_	7	adv	_	_
9	-	-	$	$(	_	0	root	_	_
10	nach	nach	P	APPR	Dat	15	pp	_	_
11	dem	die	A	ART	Def|Masc|Dat|Sg	12	det	_	_
12	Palast	Palast	N	NN	Masc|Dat|Sg	10	pn	_	_
13	des	die	A	ART	Def|Masc|Gen|Sg	14	det	102	102
14	Königs	König	N	NN	Masc|Gen|Sg	12	gmod	102	102
15	wäre	sein	V	VAFIN	_|Sg|Past|Subj	1	kon	_	_
16	-	-	$	$(	_	0	root	_	_
17	so	so	A	ADV	_	18	adv	_	_
18	holt	holen	V	VVFIN	_|_|Pres|Ind	15	kon	_	_
19	ich	ich	P	PPER	1|Sg|_|Nom	0	root	726	726
20	den	die	A	ART	Def|Masc|Acc|Sg	21	det	448	448
21	Besänftiger	Besänftiger	N	NN	Masc|Acc|Sg	0	root	448	448
22	-	-	$	$(	_	0	root	_	_
23	er	er	P	PPER	3|Sg|Masc|Nom	24	subj	102	102
24	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
25	mir	ich	P	PPER	1|Sg|_|Dat	38	objd	726	726
26	schon	schon	A	ADV	_	38	adv	_	_
27	am	an	P	APPRART	Dat	38	pp	_	_
28	Schluß	Schluß	N	NN	Masc|Dat|Sg	27	pn	_	_
29	des	die	A	ART	Def|Masc|Gen|Sg	31	det	514	514
30	zweiten	zweit	A	ADJA	_|Masc|Gen|Sg|_|	31	attr	514	514
