29	:	\:	$	$.	_	0	root	_	_
30	so	so	A	ADV	_	31	adv	_	_
31	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
32	der	die	A	ART	Def|Masc|Nom|Sg	33	det	16	16
33	Mensch	Mensch	N	NN	Masc|Nom|Sg	31	subj	16	16
34	doch	doch	A	ADV	_	31	adv	_	_
35	in	in	P	APPR	Dat	31	pp	_	_
36	jedem	jede	A	PIAT	Neut|Dat|Sg	37	det	_	_
37	Jahrzehend	Jahrzehend	N	NN	Neut|Dat|Sg	35	pn	_	_
38	einen	eine	A	ART	Indef|Masc|Acc|Sg	39	det	290	290
39	Verstand	Verstand	N	NN	Masc|Acc|Sg	31	obja	290	290
40	,	,	$	$,	_	0	root	290	290
41	der	die	P	PRELS	Masc|Nom|Sg	46	subj	290	290
42	nicht	nicht	P	PTKNEG	_	46	adv	_	_
43	vor	vor	P	APPR	Dat	46	pp	_	_
44	dem	die	A	ART	Def|Neut|Dat|Sg	45	det	_	_
45	Jahrzehend	Jahrzehend	N	NN	Neut|Dat|Sg	43	pn	_	_
46	kommt	kommen	V	VVFIN	3|Sg|Pres|Ind	39	rel	_	_
47	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|_	2	expl	_	_
2	gibt	geben	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	einige	einige	P	PIS	_|Nom|Sg	2	subj	_	_
4	mit	mit	P	APPR	Dat	2	pp	_	_
5	einer	eine	A	ART	Indef|Fem|Dat|Sg	8	det	_	_
6	ganz	ganz	A	ADV	_	7	adv	_	_
7	unleserlichen	unleserlich	A	ADJA	Pos|Fem|Dat|Sg|Wk|	8	attr	_	_
8	Hand	Hand	N	NN	Fem|Dat|Sg	4	pn	_	_
9	geschriebene	geschrieben	A	ADJA	Pos|Neut|_|Pl|St|	10	attr	510	510
10	Blätter	Blatt	N	NN	Neut|_|Pl	2	obja	510	510
11	im	in	P	APPRART	Dat	2	pp	_	_
12	Buche	Buch	N	NN	_|Dat|Sg	11	pn	_	_
13	der	die	A	ART	Def|Fem|Gen|Sg	14	det	291	291
14	Natur	Natur	N	NN	Fem|Gen|Sg	12	gmod	291	291
15	,	,	$	$,	_	0	root	291	291
16	die	die	P	PRELS	Fem|_|Sg	19	obja	291	291
17	nur	nur	A	ADV	_	19	adv	_	_
18	einer	eine	P	PIS	Masc|Nom|Sg	20	subj	_	_
19	lesen	lesen	V	VVINF	_	20	aux	_	_
20	kann	können	V	VMFIN	3|Sg|Pres|Ind	14	rel	_	_
21	,	,	$	$,	_	0	root	_	_
22	der	die	P	PRELS	_|_|Sg	0	root	291	291
23	sich	sie	P	PRF	3|_|_	29	obja	_	_
24	lange	lange	A	ADJD	_	29	adv	_	_
25	mit	mit	P	APPR	Dat	29	pp	_	_
26	der	die	A	ART	Def|Fem|Dat|Sg	27	det	136	136
27	Hand	Hand	N	NN	Fem|Dat|Sg	25	pn	136	136
28	vertraut	vertraut	A	ADJD	Pos|	29	pred	_	_
29	gemacht	machen	V	VVPP	_	0	root	_	_
