10	dran	dran	P	PROAV	_	9	pp	_	_
11	so	so	A	ADV	_	12	adv	_	_
12	aufgeschwellt	aufgeschwellt	N	NE	Fem|Nom|Sg	9	app	_	_
13	,	,	$	$,	_	0	root	_	_
14	oder	oder	K	KON	_	1	kon	_	_
15	bin	sein	V	VAFIN	1|Sg|Pres|Ind	14	cj	_	_
16	ich	ich	P	PPER	1|Sg|_|Nom	15	subj	1813	1813
17	wirklich	wirklich	A	ADJD	Pos|	31	adv	_	_
18	aus	aus	P	APPR	Dat	31	objp	_	_
19	Naturanlage	Naturanlage	N	NN	Fem|Dat|Sg	18	pn	_	_
20	und	und	K	KON	_	18	kon	_	_
21	als	als	K	KOKOM	_	23	kom	_	_
22	Bürgermeister	Bürgermeister	N	NN	_|_|_	21	cj	1098	1098
23	von	von	P	APPR	Dat	20	cj	_	_
24	Wanza	Wanza	N	NE	_|Dat|_	23	pn	43	43
25	so	so	A	ADV	_	26	adv	_	_
26	maßlos	maßlos	A	ADJD	Pos|	31	adv	_	_
27	über	über	P	APPR	Acc	26	pp	_	_
28	einen	eine	A	ART	Indef|Masc|Acc|Sg	30	det	_	_
29	anständigen	anständig	A	ADJA	Pos|Masc|Acc|Sg|_|	30	attr	_	_
30	Leibesumfang	Leibesumfang	N	NN	Masc|Acc|Sg	27	pn	_	_
31	herausgewachsen	herauswachsen	V	VVPP	_	15	aux	_	_
32	,	,	$	$,	_	0	root	_	_
33	wie	wie	P	PWAV	_	37	adv	_	_
34	mir	ich	P	PPER	1|Sg|_|Dat	37	objd	1813	1813
35	das	die	P	PDS	Neut|Nom|Sg	37	subj	_	_
36	augenblicklich	augenblicklich	A	ADJD	Pos|	37	adv	_	_
37	vorkommt	vorkommen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
38	?	?	$	$.	_	0	root	_	_
39	!	!	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	1813	1813
