3	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
4	doch	doch	A	ADV	_	3	adv	_	_
5	immer	immer	A	ADV	_	6	adv	_	_
6	so	so	A	ADV	_	7	adv	_	_
7	was	was	P	PIS	_|Nom|_	3	pred	_	_
8	wie	wie	K	KOKOM	_	3	kom	_	_
9	'	'	$	$(	_	0	root	_	_
10	ne	ne	A	ADJA	_|Fem|_|Sg|_	11	attr	_	_
11	Respektsperson	Respektsperson	N	NN	Fem|_|Sg	8	cj	_	_
12	.	.	$	$.	_	0	root	_	_

1	Für	für	P	APPR	Acc	3	pp	_	_
2	sich	sie	P	PRF	3|_|Acc	1	pn	_	_
3	mag	mögen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
4	er	er	P	PPER	3|Sg|Masc|Nom	3	subj	103	103
5	ja	ja	A	ADV	_	6	adv	_	_
6	tun	tun	V	VVINF	_	3	aux	_	_
7	,	,	$	$,	_	0	root	_	_
8	was	was	P	PRELS	Neut|_|Sg	10	obja	_	_
9	er	er	P	PPER	3|Sg|Masc|Nom	10	subj	103	103
10	will	wollen	V	VMFIN	3|Sg|Pres|Ind	6	rel	_	_
11	;	;	$	$.	_	0	root	_	_
12	aber	aber	K	KON	_	0	root	_	_
13	solchen	solche	A	PIDAT	Masc|_|_	15	det	_	_
14	jungen	jung	A	ADJA	Pos|Masc|_|_|_|	15	attr	_	_
15	Menschen	Mensch	N	NN	Masc|_|_	12	cj	_	_
16	...	...	$	$.	_	0	root	_	_
17	ich	ich	P	PPER	1|Sg|_|Nom	18	subj	103	103
18	weiß	wissen	V	VVFIN	1|Sg|Pres|Ind	0	root	_	_
19	nicht	nicht	P	PTKNEG	_	18	adv	_	_
20	,	,	$	$,	_	0	root	_	_
21	Pauline	Pauline	N	NE	Fem|_|Sg	18	vok	104	104
22	.	.	$	$.	_	0	root	_	_

1	Findst	Findst	F	FM	_	0	root	_	_
2	du	du	F	FM	_	1	app	_	_
3	nich	nich	F	FM	_	2	app	_	_
4	auch	auch	A	ADV	_	0	root	_	_
5	?	?	$	$.	_	0	root	_	_
6	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Na	Na	I	ITJ	_	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	ob	ob	K	KOUS	_	6	konj	_	_
5	ich	ich	P	PPER	1|Sg|_|Nom	6	subj	103	103
6	finde	finden	V	VVFIN	1|Sg|Pres|_	0	root	_	_
7	.	.	$	$.	_	0	root	_	_

1	Natürlich	natürlich	A	ADJD	Pos|	0	root	_	_
2	;	;	$	$.	_	0	root	_	_
3	erst	erst	A	ADV	_	0	root	_	_
4	recht	recht	P	PTKVZ	_	0	root	_	_
5	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	Kind	Kind	N	NN	Neut|_|Sg	0	root	89	89
4	,	,	$	$,	_	0	root	_	_
5	wenn	wenn	K	KOUS	_	10	konj	_	_
6	wir	wir	P	PPER	1|Pl|_|Nom	10	subj	_	_
7	davon	davon	P	PROAV	_	9	pp	_	_
8	erst	erst	A	ADV	_	9	adv	_	_
9	reden	reden	V	VVINF	_	10	aux	_	_
10	wollen	wollen	V	VMFIN	1|Pl|Pres|_	0	root	_	_
