10	atmete	atmen	V	VVFIN	_|Sg|Past|_	9	cj	_	_
11	die	die	A	ART	Def|_|_|_	13	det	_	_
12	dämmerige	dämmerig	A	ADJA	Pos|_|_|_|_|	13	attr	_	_
13	Kühle	Kühle	N	NN	_|_|_	10	obja	_	_
14	des	die	A	ART	Def|Neut|Gen|Sg	15	det	_	_
15	Treppenhauses	Treppenhaus	N	NN	Neut|Gen|Sg	13	gmod	_	_
16	gierig	gierig	A	ADJD	Pos|	10	adv	_	_
17	ein	ein	P	PTKVZ	_	10	avz	_	_
18	.	.	$	$.	_	0	root	_	_

1	Da	da	A	ADV	_	2	adv	_	_
2	fiel	fallen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	von	von	P	APPR	Dat	2	pp	_	_
4	einem	eine	A	ART	Indef|Neut|Dat|Sg	6	det	_	_
5	oberen	oberen	A	ADJA	_|Neut|Dat|Sg|_	6	attr	_	_
6	Stockwerk	Stockwerk	N	NN	Neut|Dat|Sg	3	pn	_	_
7	eine	eine	A	ART	Indef|Fem|Nom|Sg	8	det	11	11
8	Tür	Tür	N	NN	Fem|Nom|Sg	2	subj	11	11
9	ins	in	P	APPRART	Acc	2	objp	_	_
10	Schloß	Schloß	N	NN	Neut|Acc|Sg	9	pn	629	629
11	,	,	$	$,	_	0	root	_	_
12	erschreckt	erschreckt	A	ADJD	Pos|	13	adv	_	_
13	raffte	raffen	V	VVFIN	3|Sg|Past|_	2	kon	_	_
14	sie	sie	P	PPER	3|Sg|Fem|Nom	13	subj	11	11
