47	kein	keine	A	PIAT	Neut|_|Sg	48	det	_	_
48	Landgericht	Landgericht	N	NN	Neut|_|Sg	46	cj	_	_
49	!	!	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	hier	hier	A	ADV	_	3	adv	_	_
3	ist	sein	V	VAFIN	3|Sg|Pres|Ind	1	cj	_	_
4	einer	eine	A	ART	Indef|Fem|_|Sg	0	root	_	_
5	«	«	$	$(	_	0	root	_	_
6	-	-	$	$(	_	0	root	_	_
7	und	und	K	KON	_	0	root	_	_
