22	Eindruck	Eindruck	N	NN	Masc|Acc|Sg	18	obja	_	_
23	eines	eine	A	ART	Indef|Masc|Gen|Sg	24	det	123	123
24	Helden	Held	N	NN	Masc|Gen|Sg	22	gmod	123	123
25	,	,	$	$,	_	0	root	_	_
26	der	die	P	PRELS	_|_|Sg	0	root	123	123
27	seiner	seine	A	PPOSAT	_|_|_	0	root	123	123
28	Fesseln	Fessel	N	NN	Neut|Nom|Sg	31	subj	_	_
29	zu	zu	P	PTKZU	_	30	part	_	_
30	lachen	lachen	V	VVINF	_	31	aux	_	_
31	vermag	vermag	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
32	.	.	$	$.	_	0	root	_	_

1	Man	man	P	PIS	_|Nom|Sg	2	subj	_	_
2	hatte	haben	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
3	ihnen	sie	P	PPER	3|Pl|_|Dat	6	objd	124	124
